Embassy,Location,Neighborhood,Image,Notes,Flag_url,Image_url,Flag_height,Image_height,Flag_width,Image_width,Reference_url,Location_query,lat,lng
 Afghanistan,"2341 Wyoming Avenue NW
",Kalorama,,1,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Embassy_of_Afghanistan_%28Washington%2C_D.C.%29.JPG/150px-Embassy_of_Afghanistan_%28Washington%2C_D.C.%29.JPG,15,96,23,150,http://www.embassyofafghanistan.org,"2341 Wyoming Avenue NW
, Washington, DC",38.9172301,-77.05224129999999
 Albania,"2100 S Street NW
",Kalorama,,2,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/21px-Flag_of_Albania.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Embassy_of_Albania_United_States.JPG/150px-Embassy_of_Albania_United_States.JPG,15,200,21,150,https://web.archive.org/web/20101225134740/http://embassyofalbania.org/contact.html,"2100 S Street NW
, Washington, DC",38.9139214,-77.04695880000001
 Algeria,2118 Kalorama Road NW,Kalorama,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/23px-Flag_of_Algeria.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Embassy_Algeria_Washington_DC.jpg/150px-Embassy_Algeria_Washington_DC.jpg,15,180,23,150,http://www.algerianembassy.org,"2118 Kalorama Road NW, Washington, DC",38.9181599,-77.0487332
 Angola,2100-2108 16th Street NW,U Street Corridor,,4,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/23px-Flag_of_Angola.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Embassy_of_Angola_%28Washington%2C_D.C.%29.JPG/150px-Embassy_of_Angola_%28Washington%2C_D.C.%29.JPG,15,119,23,150,http://www.angola.org,"2100-2108 16th Street NW, Washington, DC",38.9184695,-77.0368589
 Antigua and Barbuda,3216 New Mexico Avenue NW,Wesley Heights,,5,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/23px-Flag_of_Antigua_and_Barbuda.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Embassy_Antigua_et_al.jpg/150px-Embassy_Antigua_et_al.jpg,15,102,23,150,http://www.embassy.org/embassies/ag.html,"3216 New Mexico Avenue NW, Washington, DC",38.9332081,-77.08594269999999
 Argentina,1600 New Hampshire Avenue NW,Dupont Circle,,6,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/23px-Flag_of_Argentina.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Embassy_of_Argentina_United_States.JPG/150px-Embassy_of_Argentina_United_States.JPG,14,106,23,150,http://www.embassyofargentina.us,"1600 New Hampshire Avenue NW, Washington, DC",38.9113656,-77.0423689
 Armenia,2225 R Street NW,Embassy Row,,7,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/23px-Flag_of_Armenia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Embassy_of_Armenia-Washington.JPG/150px-Embassy_of_Armenia-Washington.JPG,12,202,23,150,http://www.usa.mfa.am/en/,"2225 R Street NW, Washington, DC",38.9128295,-77.0498576
 Australia,1601 Massachusetts Avenue NW,Embassy Row,,8,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Flag_of_Australia.svg/23px-Flag_of_Australia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Embassy_of_Australia_-_Washington%2C_D.C..JPG/150px-Embassy_of_Australia_-_Washington%2C_D.C..JPG,12,119,23,150,http://usa.embassy.gov.au/whwh/home.html,"1601 Massachusetts Avenue NW, Washington, DC",38.908001,-77.03702899999999
 Austria,3524 International Court NW,North Cleveland Park,,9,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/23px-Flag_of_Austria.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/AustrianEmbassyWashingtonDC.jpg/150px-AustrianEmbassyWashingtonDC.jpg,15,65,23,150,http://www.austria.org/home,"3524 International Court NW, Washington, DC",38.9454021,-77.06930799999999
 Azerbaijan,2741 34th Street NW,Embassy Row,,10,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/23px-Flag_of_Azerbaijan.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Embassy_of_Azerbaijan.JPG/150px-Embassy_of_Azerbaijan.JPG,12,113,23,150,http://www.azembassy.us,"2741 34th Street NW, Washington, DC",38.9256917,-77.0661377
